gene_symbol,Lcn2
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,vh1wwy29w3501l4
gene_accession_id,MGI:96757
pvalue,0.4536016
parameter_name,Glucose response AUC
parameter_id,ESLIM_004_001_701
