gene_symbol,AU040320
parameter_id,MGP_CSD_015_001
parameter_name,Head coat/hair presence
pvalue,0.8761296
analysis_id,yf7s3rc8x283sx3
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_accession_id,MGI:2140475
