analysis_id,45h4z86n045xtr9
gene_symbol,Zyg11b
pvalue,0.5045279
mouse_strain,C57BL
parameter_name,Shape of ribcage
mouse_life_stage,E18.5
parameter_id,IMPC_XRY_059_001
gene_accession_id,MGI:2685277
