gene_symbol,Ints7
analysis_id,b4162r7jquq3ga9
mouse_strain,C57BL
gene_accession_id,MGI:1924315
pvalue,0.8885282
parameter_id,UCDLA_EYE_017_001
mouse_life_stage,E9.5
parameter_name,Lens Opacity
