gene_symbol,Casq1
parameter_id,JAX_LDT_008_001
gene_accession_id,MGI:1309468
mouse_life_stage,Early adult
parameter_name,Percent time in dark
pvalue,0.1443237
mouse_strain,C57BL
analysis_id,u3bv1724j21k72j
