analysis_id,fb4cn7g0951i996
mouse_strain,C57BL
gene_symbol,Mms22l
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_007_001
parameter_name,Cornea
gene_accession_id,MGI:2684980
pvalue,0.3904694
