gene_symbol,Opn3
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Aggression
analysis_id,s2j7178hbvvm84v
pvalue,0.5604423
parameter_id,IMPC_CSD_079_001
gene_accession_id,MGI:1338022
