parameter_name,Chloride
parameter_id,HMGULA_CBC_003_001
mouse_strain,B6J
pvalue,0.2430071
gene_accession_id,MGI:1346344
analysis_id,u60lfq0lm333swa
gene_symbol,Nr0b2
mouse_life_stage,Early adult
