parameter_id,IMPC_OFD_016_001
gene_accession_id,MGI:1913396
mouse_strain,C57BL
analysis_id,492vtlb42v9067d
gene_symbol,Maco1
mouse_life_stage,Early adult
parameter_name,Center permanence time
pvalue,0.9332627
