parameter_name,Retinal Blood Vessels Structure
mouse_life_stage,E15.5
mouse_strain,C57BL
pvalue,0.7097128
gene_symbol,Mapkap1
gene_accession_id,MGI:2444554
parameter_id,IMPC_EYE_025_001
analysis_id,2f2i0f28711p9x5
