analysis_id,c8m0j42x8k6c092
pvalue,0.9541983
parameter_name,Tibia
gene_accession_id,MGI:88071
parameter_id,IMPC_XRY_025_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Arnt
