analysis_id,jzjbeb3ae2e71i5
mouse_life_stage,Early adult
gene_symbol,Hspa5
parameter_id,MGP_BMI_014_001
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
pvalue,0.9820545
mouse_strain,C57BL
gene_accession_id,MGI:95835
