gene_symbol,Lurap1
analysis_id,z3h48herzlwu4gz
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_033_001
parameter_name,Tibia length
gene_accession_id,MGI:1915325
pvalue,0.4589344
