parameter_id,JAXLA_EYE_092_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,m2590kduz1l8gdi
gene_symbol,Inpp1
parameter_name,Retina (combined)
gene_accession_id,MGI:104848
pvalue,0.811078
