analysis_id,sqxz70k1032tjlm
pvalue,0.3620837
gene_accession_id,MGI:1927379
gene_symbol,Rhbg
parameter_name,Initial response to glucose challenge
parameter_id,IMPC_IPG_011_001
mouse_strain,C57BL
mouse_life_stage,Early adult
