analysis_id,jn8ipn6310d5wl9
gene_symbol,Arpc5l
pvalue,0.4914245
mouse_life_stage,Early adult
parameter_id,JAXLA_CBC_015_001
gene_accession_id,MGI:1921442
mouse_strain,C57BL
parameter_name,Total cholesterol
