analysis_id,n33flq3l13ij0b4
mouse_strain,C57BL
pvalue,0.596381
gene_symbol,Slx4ip
gene_accession_id,MGI:1921493
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_015_001
parameter_name,Total cholesterol
