analysis_id,f0q2e9l907172i1
parameter_name,PR
pvalue,0.879371
parameter_id,IMPC_ECG_006_001
mouse_life_stage,E9.5
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
mouse_strain,C59BL
