gene_symbol,Secisbp2l
parameter_id,IMPC_ECH_001_001
analysis_id,51p735p49t9x8wl
gene_accession_id,MGI:1917604
pvalue,0.6489963
mouse_strain,C57BL
parameter_name,End-Systolic Diameter
mouse_life_stage,Late adult
