gene_symbol,Clvs1
gene_accession_id,MGI:1921688
analysis_id,680y6q7274p35e1
mouse_strain,C57BL
pvalue,0.6214108
parameter_name,Basophil differential count
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_038_001
