gene_symbol,Lurap1
analysis_id,7xh1tom6c34n8su
parameter_name,Ly6Clow monocyte number
parameter_id,MGP_PBI_038_001
pvalue,0.1849466
mouse_strain,C57BL
gene_accession_id,MGI:1915325
mouse_life_stage,Early adult
