analysis_id,34h559xf3175145
gene_symbol,Bmi1
pvalue,0.2326394
gene_accession_id,MGI:88174
mouse_strain,C57BL
parameter_id,MGP_IMM_066_001
mouse_life_stage,Early adult
parameter_name,CD11b-high cDC - % of cDC
