parameter_name,Light side time spent
gene_accession_id,MGI:1921802
mouse_strain,129SV
gene_symbol,Nipal3
parameter_id,JAX_LDT_002_001
pvalue,0.8379705
analysis_id,nne1yo4srm8w0k3
mouse_life_stage,Early adult
