gene_symbol,Kifap3
parameter_id,IMPC_CSD_078_001
analysis_id,9380c6z52b9654h
mouse_life_stage,Early adult
pvalue,0.5492249
gene_accession_id,MGI:107566
mouse_strain,C57BL
parameter_name,Vocalization
