parameter_name,Fat mass
gene_symbol,Rab22a
gene_accession_id,MGI:105072
parameter_id,IMPC_DXA_002_001
pvalue,0.8151063
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,6a2ki3213iexm64
