gene_symbol,Bmi1
analysis_id,77xyb2037a038g2
parameter_id,ESLIM_011_001_704
mouse_strain,C57BL
pvalue,0.4600387
mouse_life_stage,E15.5
gene_accession_id,MGI:88174
parameter_name,Prepulse inhibition - PP4
