analysis_id,gci11cq56555hwc
pvalue,0.3890589
gene_symbol,Usp37
mouse_strain,C57BL
parameter_id,M-G-P_009_001_003
gene_accession_id,MGI:2442483
parameter_name,Body weight
mouse_life_stage,Early adult
