analysis_id,778v14651kz69qd
parameter_name,Percentage center time
parameter_id,JAX_OFD_022_001
gene_accession_id,MGI:2385884
gene_symbol,Ddx27
pvalue,0.8995577
mouse_strain,129SV
mouse_life_stage,Early adult
