parameter_name,Periphery permanence time
gene_accession_id,MGI:1927379
parameter_id,IMPC_OFD_012_001
pvalue,0.4132209
mouse_strain,C57BL
gene_symbol,Rhbg
analysis_id,a4a8z306uo0m183
mouse_life_stage,Early adult
