analysis_id,j23n2fm557j72mc
mouse_strain,C57BL
gene_accession_id,MGI:2446186
parameter_id,MGP_IMM_004_001
parameter_name,Total CD4+ T cells - % of ab T cells
mouse_life_stage,Middle aged adult
pvalue,0.4391675
gene_symbol,Lpgat1
