gene_symbol,Atg4c
pvalue,0.9855516
mouse_strain,C57BL
gene_accession_id,MGI:2651854
parameter_name,Dark side time spent
mouse_life_stage,Early adult
parameter_id,JAX_LDT_004_001
analysis_id,ozcyfa9e9e9665n
