analysis_id,9trbycs74e5vg32
pvalue,0.5522361
parameter_name,Tibia length
mouse_strain,C57BL
gene_accession_id,MGI:1917604
mouse_life_stage,Middle aged adult
parameter_id,IMPC_XRY_033_001
gene_symbol,Secisbp2l
