analysis_id,1fq6h23c8z9b67r
pvalue,0.1681856
parameter_name,Ventral coat/hair presence
gene_symbol,Extl1
gene_accession_id,MGI:1888742
parameter_id,MGP_CSD_025_001
mouse_strain,C57BL
mouse_life_stage,Early adult
