analysis_id,1j121b60vklq8vs
gene_symbol,Bach2
mouse_strain,C57BL
parameter_name,Hindlimbs - size
parameter_id,JAXLA_CSD_022_001
pvalue,0.9282706
mouse_life_stage,Early adult
gene_accession_id,MGI:894679
