gene_symbol,Dnajc6
pvalue,0.4235895
mouse_life_stage,Early adult
analysis_id,opbce1a1ut1co55
parameter_id,MGP_IMM_071_001
mouse_strain,C57BL
parameter_name,Total CD4+ T cells - % of CD45+
gene_accession_id,MGI:1919935
