parameter_name,Tongue out
mouse_life_stage,Early adult
pvalue,0.2042047
gene_accession_id,MGI:2441730
mouse_strain,C57BL
gene_symbol,Tbl1xr1
analysis_id,n877625q8af3bvp
parameter_id,IMPC_GEP_083_001
