analysis_id,4sl424443os5q6w
mouse_life_stage,Early adult
parameter_id,TCPLA_GRS_011_001
gene_accession_id,MGI:1913284
mouse_strain,C57BL
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
gene_symbol,Psmd14
pvalue,0.6613712
