analysis_id,95l6yb754ewanr2
gene_symbol,Fpgs
pvalue,1.372074
gene_accession_id,MGI:95576
mouse_life_stage,Early adult
parameter_id,MGP_MLN_067_001
mouse_strain,C57BL
parameter_name,Resting CD4+ T helper cells - % of CD45+
