parameter_id,JAX_ROT_002_001
parameter_name,Average duration
gene_symbol,Psd4
pvalue,0.1685635
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,3g9syf8l3vmji6k
gene_accession_id,MGI:2674093
