analysis_id,x5a7c57g10i2b0o
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,CD8 CD44+CD62L- T cells
gene_accession_id,MGI:105073
pvalue,0.07456636
gene_symbol,Tnni1
parameter_id,IMPC_IMM_032_001
