parameter_name,LDL-cholesterol
pvalue,0.4073089
mouse_strain,C57BL
parameter_id,IMPC_CBC_025_001
gene_accession_id,MGI:88328
analysis_id,fk6w0wud80e8c7b
gene_symbol,Tnfsf8
mouse_life_stage,Early adult
