analysis_id,67a8ahrah9y03s0
parameter_id,MGP_MLN_006_001
gene_accession_id,MGI:1914071
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
mouse_strain,C57BL
mouse_life_stage,E9.5
pvalue,0.6682558
gene_symbol,Bcs1l
