analysis_id,xsvd0x511h52752
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_name,Neural tube closure
gene_symbol,Bmi1
parameter_id,IMPC_GEL_027_001
pvalue,0.6736482
gene_accession_id,MGI:88174
