gene_symbol,Kdm4c
mouse_life_stage,Early adult
parameter_id,JAX_OFD_013_001
pvalue,0.8374454
gene_accession_id,MGI:1924054
parameter_name,Periphery average speed
mouse_strain,C57BL
analysis_id,hz146kwd44330yk
