gene_symbol,Tatdn3
parameter_name,center - resting time
pvalue,0.8400003
mouse_strain,C57BL
gene_accession_id,MGI:1916222
mouse_life_stage,Early adult
parameter_id,M-G-P_007_001_011
analysis_id,by631kh2o6lsm98
