gene_symbol,Mms22l
mouse_life_stage,Early adult
parameter_id,MGP_IMM_006_001
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
analysis_id,t16a3io43wbzgq2
gene_accession_id,MGI:2684980
mouse_strain,C57BL
pvalue,0.5855465
