parameter_id,HMGULA_CBC_009_001
mouse_life_stage,Early adult
gene_accession_id,MGI:99915
gene_symbol,Lamb3
parameter_name,Calcium
mouse_strain,C57BL
analysis_id,45e70386ox32f3z
pvalue,0.3716435
