gene_symbol,Serinc3
parameter_id,IMPC_HEM_039_001
parameter_name,Large Unstained Cell (LUC) count
mouse_strain,C57BL
gene_accession_id,MGI:1349457
mouse_life_stage,Early adult
analysis_id,etul2r1deop5aj0
pvalue,0.3091127
