gene_symbol,Casq1
mouse_life_stage,Early adult
analysis_id,ac62k6u7c05s639
parameter_name,Center average speed
pvalue,0.9430709
mouse_strain,C57BL
parameter_id,IMPC_OFD_017_001
gene_accession_id,MGI:1309468
