analysis_id,9475663jcsfl589
gene_accession_id,MGI:95457
mouse_life_stage,Early adult
gene_symbol,Mecom
pvalue,0.441717
parameter_name,Total protein
parameter_id,IMPC_CBC_006_001
mouse_strain,C3H
