parameter_id,IMPC_IPG_011_001
analysis_id,5q38ftkkw82t69d
gene_accession_id,MGI:95835
mouse_strain,C57BL
parameter_name,Initial response to glucose challenge
gene_symbol,Hspa5
pvalue,0.704055
mouse_life_stage,E9.5
