gene_symbol,Sdcbp2
analysis_id,242983w75swi9yr
parameter_name,Heart looping
mouse_life_stage,Early adult
pvalue,0.6652991
parameter_id,IMPC_GEL_057_001
gene_accession_id,MGI:2385156
mouse_strain,C57BL
