parameter_id,IMPC_ACS_037_001
analysis_id,3zv1tn1ftj351g3
mouse_life_stage,Early adult
gene_accession_id,MGI:2444113
gene_symbol,Nemp2
parameter_name,% Pre-pulse inhibition - Global
pvalue,0.2204298
mouse_strain,C57BL
