analysis_id,e5g6y67zcafyof3
parameter_name,Hindlimb digit - size
pvalue,0.511589
gene_symbol,Lpgat1
mouse_life_stage,E18.5
mouse_strain,C57BL
parameter_id,IMPC_CSD_047_001
gene_accession_id,MGI:2446186
