gene_symbol,Tatdn3
gene_accession_id,MGI:1916222
parameter_name,Neutrophil differential count
parameter_id,IMPC_HEM_029_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.3658027
analysis_id,787n3mbzc0fiax8
