parameter_name,Hindlimb nail - number
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3909246
analysis_id,a3b8685p15x6ad2
gene_accession_id,MGI:1336200
parameter_id,IMPC_CSD_051_002
gene_symbol,Hpca
