analysis_id,h435468gk9v55t4
gene_symbol,Trp53rkb
mouse_strain,C57BL
pvalue,0.6517133
mouse_life_stage,Early adult
parameter_name,Pale yolk sac
gene_accession_id,MGI:1914050
parameter_id,IMPC_GEL_017_002
