parameter_id,IMPC_GEP_017_001
gene_accession_id,MGI:891989
pvalue,0.840564
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Facial Morphology
gene_symbol,Npbwr1
analysis_id,40z70jiu04i1bb5
