analysis_id,397428oj66mzvxm
pvalue,0.981982
gene_symbol,Slc2a8
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_030_001
parameter_name,Tremor
gene_accession_id,MGI:1860103
