gene_symbol,Etfdh
analysis_id,gxp56414mk97114
gene_accession_id,MGI:106100
pvalue,0.7580927
parameter_name,Weight
mouse_strain,C57BL
parameter_id,CCP_LFO_001_001
mouse_life_stage,Early adult
