analysis_id,224gwbke59avgji
parameter_name,Follicular B cells - % of B2 cells
gene_symbol,Cmpk1
pvalue,0.8860714
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_IMM_048_001
gene_accession_id,MGI:1913838
