gene_symbol,Nanp
parameter_id,JAX_LDT_004_001
pvalue,0.4998745
gene_accession_id,MGI:1914561
mouse_life_stage,E18.5
mouse_strain,C57BL
parameter_name,Dark side time spent
analysis_id,ya3717x7bw4g00e
