analysis_id,w4et1nn5p9n03av
pvalue,0.565556
gene_symbol,Ubxn11
parameter_name,Tibia length
parameter_id,IMPC_XRY_033_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1914836
