analysis_id,a2bgznm845342gm
gene_symbol,Slc39a10
parameter_name,Lens Opacity
gene_accession_id,MGI:1914515
parameter_id,UCDLA_EYE_017_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.5210527
